ID              SYMBOL       
ENSG00000169679 BUB1         
ENSG00000169967 MAP3K2       
ENSG00000170027 YWHAG        
ENSG00000170145 SIK2         
ENSG00000170209 ANKK1        
ENSG00000170312 CDK1         
ENSG00000170390 DCLK2        
ENSG00000170525 PFKFB3       
ENSG00000170579 DLGAP1       
ENSG00000170776 AKAP13       
ENSG00000170777 TPD52L3      
ENSG00000170950 PGK2         
ENSG00000170955 PRKCDBP      
ENSG00000171033 PKIA         
ENSG00000171094 ALK          
ENSG00000171132 PRKCE        
ENSG00000171219 CDC42BPG     
ENSG00000171368 TPPP         
ENSG00000171435 KSR2         
ENSG00000171450 CDK5R2       
ENSG00000171608 PIK3CD       
ENSG00000171798 KNDC1        
ENSG00000172071 EIF2AK3      
ENSG00000172113 NME6         
ENSG00000172315 TP53RK       
ENSG00000172409 CLP1         
ENSG00000172456 FGGY         
ENSG00000172680 MOS          
ENSG00000172939 OXSR1        
ENSG00000172992 DCAKD        
ENSG00000173020 ADRBK1       
ENSG00000173137 ADCK5        
ENSG00000173207 CKS1B        
ENSG00000173327 MAP3K11      
ENSG00000173517 PEAK1        
ENSG00000173846 PLK3         
ENSG00000174083 PIK3R6       
ENSG00000174292 TNK1         
ENSG00000174672 BRSK2        
ENSG00000174705 SH3PXD2B     
ENSG00000175054 ATR          
ENSG00000175066 GK5          
ENSG00000175087 PDIK1L       
ENSG00000175130 MARCKSL1     
ENSG00000175175 PPM1E        
ENSG00000175283 DOLK         
ENSG00000175634 RPS6KB2      
ENSG00000175756 AURKAIP1     
ENSG00000175920 DOK7         
ENSG00000176049 JAKMIP2      
ENSG00000176095 IP6K1        
ENSG00000176105 YES1         
ENSG00000176170 SPHK1        
ENSG00000176444 CLK2         
ENSG00000176601 YSK4         
ENSG00000176749 CDK5R1       
ENSG00000177106 EPS8L2       
ENSG00000177169 ULK1         
ENSG00000177189 RPS6KA3      
ENSG00000177453 NIM1         
ENSG00000177602 GSG2         
ENSG00000178078 STAP2        
ENSG00000178093 TSSK6        
ENSG00000178556 CKS1BP6      
ENSG00000178568 ERBB4        
ENSG00000178607 ERN1         
ENSG00000178950 GAK          
ENSG00000178999 AURKB        
ENSG00000179335 CLK3         
ENSG00000179611 DGKZP1       
ENSG00000179841 AKAP5        
ENSG00000179988 PSTK         
